name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
FC Midtjylland vs Fredericia,2025-08-10 12:00:00,Game ended in draw.,Denmark Superliga,FC Midtjylland,Fredericia,3,3,5.0,11.0,6.0,3.0,5.0,4.0,16.0,18.0,118.0,82.0,53.0,59.0,54.0,46.0,,,11.0,11.0,5.0,6.0,1.0,3.0,6.0,8.0,7.0,10.0,8.0,11.0,2.0,3.0,2.0,0.0,1.36,5.62,7.95,2.34,1.64,,,,,,,1.36,5.75,6.5,2.25,1.57,,,,,,,2025-2026
Silkeborg IF vs Nordsjælland,2025-08-10 14:00:00,Silkeborg IF won after full-time.,Denmark Superliga,Silkeborg IF,Nordsjælland,4,2,12.0,10.0,5.0,4.0,5.0,5.0,17.0,15.0,66.0,167.0,30.0,58.0,45.0,55.0,2.0,0.0,14.0,11.0,3.0,5.0,1.0,1.0,10.0,6.0,8.0,10.0,2.0,18.0,5.0,3.0,1.0,4.0,2.56,3.7,2.68,2.61,1.53,,,,,,,2.55,3.6,2.5,2.5,1.5,,,,,,,2025-2026
Brøndby IF vs Vejle Boldklub,2025-08-10 16:00:00,Brøndby IF won after full-time.,Denmark Superliga,Brøndby IF,Vejle Boldklub,2,1,2.0,8.0,3.0,5.0,6.0,1.0,15.0,5.0,95.0,79.0,50.0,34.0,57.0,43.0,,,10.0,3.0,5.0,2.0,2.0,1.0,3.0,10.0,12.0,3.0,7.0,19.0,1.0,6.0,3.0,2.0,1.6,4.47,5.27,2.17,1.73,,,,,,,1.57,4.5,4.75,2.05,1.7,,,,,,,2025-2026
Odense BK vs Randers FC,2025-08-11 17:00:00,Odense BK won after full-time.,Denmark Superliga,Odense BK,Randers FC,3,2,9.0,3.0,2.0,2.0,4.0,4.0,8.0,8.0,123.0,109.0,36.0,52.0,44.0,56.0,1.0,0.0,7.0,6.0,1.0,2.0,2.0,2.0,8.0,5.0,7.0,5.0,8.0,15.0,1.0,1.0,1.0,4.0,2.51,3.58,2.81,2.6,1.53,,,,,,,2.45,3.5,2.62,2.37,1.53,,,,,,,2025-2026
Nordsjælland vs FC København,2025-08-15 16:00:00,FC København won after full-time.,Denmark Superliga,Nordsjælland,FC København,1,3,11.0,1.0,5.0,4.0,4.0,3.0,11.0,12.0,48.0,129.0,30.0,42.0,50.0,50.0,,,8.0,5.0,3.0,7.0,3.0,3.0,7.0,7.0,7.0,8.0,9.0,11.0,3.0,6.0,2.0,3.0,4.24,4.01,1.81,2.36,1.62,,,,,,,4.0,4.0,1.75,2.2,1.61,,,,,,,2025-2026
Fredericia vs Sønderjyske Fodbold,2025-08-15 18:00:00,Fredericia won after full-time.,Denmark Superliga,Fredericia,Sønderjyske Fodbold,3,2,9.0,10.0,13.0,3.0,9.0,3.0,23.0,17.0,119.0,77.0,73.0,34.0,57.0,43.0,,,16.0,10.0,6.0,7.0,4.0,0.0,3.0,10.0,15.0,9.0,11.0,10.0,3.0,4.0,1.0,1.0,2.58,3.62,2.7,2.47,1.58,,,,,,,2.5,3.6,2.6,2.2,1.61,,,,,,,2025-2026
Vejle Boldklub vs FC Midtjylland,2025-08-17 12:00:00,FC Midtjylland won after full-time.,Denmark Superliga,Vejle Boldklub,FC Midtjylland,0,2,10.0,3.0,2.0,3.0,7.0,5.0,16.0,13.0,77.0,105.0,44.0,45.0,49.0,51.0,,,5.0,7.0,11.0,6.0,2.0,0.0,8.0,13.0,12.0,5.0,16.0,11.0,4.0,8.0,2.0,3.0,3.79,3.99,1.92,2.5,1.56,,,,,,,3.5,3.9,1.9,2.37,1.53,,,,,,,2025-2026
Viborg FF vs Silkeborg IF,2025-08-17 14:00:00,Silkeborg IF won after full-time.,Denmark Superliga,Viborg FF,Silkeborg IF,2,3,7.0,11.0,5.0,6.0,3.0,1.0,11.0,17.0,124.0,73.0,49.0,36.0,48.0,52.0,0.0,1.0,9.0,12.0,2.0,5.0,2.0,0.0,4.0,5.0,10.0,9.0,20.0,5.0,7.0,4.0,2.0,1.0,2.36,3.51,3.08,2.31,1.65,,,,,,,2.25,3.6,2.9,2.2,1.61,,,,,,,2025-2026
Randers FC vs Brøndby IF,2025-08-17 16:00:00,Brøndby IF won after full-time.,Denmark Superliga,Randers FC,Brøndby IF,0,2,3.0,2.0,7.0,3.0,5.0,7.0,11.0,20.0,108.0,84.0,48.0,54.0,52.0,48.0,,,7.0,12.0,4.0,8.0,3.0,1.0,10.0,5.0,8.0,16.0,15.0,5.0,5.0,4.0,2.0,1.0,2.9,3.57,2.45,2.19,1.71,,,,,1.9,1.99,2.8,3.5,2.37,2.05,1.7,,,,,1.85,1.95,2025-2026
Odense BK vs AGF,2025-08-18 17:00:00,AGF won after full-time.,Denmark Superliga,Odense BK,AGF,1,5,5.0,9.0,9.0,5.0,6.0,3.0,16.0,15.0,84.0,86.0,39.0,35.0,49.0,51.0,1.0,0.0,12.0,11.0,4.0,4.0,1.0,4.0,4.0,9.0,16.0,11.0,16.0,14.0,3.0,5.0,3.0,0.0,3.55,3.69,2.08,2.4,1.58,,,,,,,3.25,3.5,2.1,2.2,1.61,,,,,,,2025-2026
