name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Kifisia vs Aris,2025-09-20 15:00:00,Aris won after full-time.,Greece Super Liga,Kifisia,Aris,0,1,6.0,4.0,2.0,4.0,4.0,8.0,6.0,15.0,55.0,108.0,41.0,71.0,29.0,71.0,,,5.0,8.0,1.0,6.0,0.0,1.0,10.0,6.0,3.0,13.0,14.0,20.0,3.0,0.0,1.0,3.0,4.82,3.46,1.83,1.74,2.14,1.8,2.09,2.09,1.8,,,4.5,3.6,1.8,1.7,2.05,1.77,2.02,2.0,1.8,,,2025-2026
Volos NFC vs Asteras Tripolis,2025-09-20 17:00:00,Volos NFC won after full-time.,Greece Super Liga,Volos NFC,Asteras Tripolis,2,1,8.0,13.0,7.0,4.0,7.0,3.0,17.0,12.0,75.0,103.0,29.0,36.0,48.0,52.0,0.0,1.0,12.0,8.0,4.0,3.0,2.0,2.0,5.0,9.0,10.0,7.0,16.0,21.0,3.0,2.0,3.0,4.0,2.13,3.15,3.97,1.8,2.05,1.78,2.11,2.05,1.83,,,2.05,3.3,3.6,1.75,2.0,,,2.05,1.75,,,2025-2026
PAOK vs Panaitolikos,2025-09-20 17:30:00,Game ended in draw.,Greece Super Liga,PAOK,Panaitolikos,0,0,3.0,10.0,12.0,1.0,10.0,1.0,24.0,3.0,138.0,40.0,107.0,8.0,78.0,22.0,,,16.0,2.0,8.0,1.0,1.0,1.0,1.0,11.0,13.0,4.0,10.0,19.0,2.0,7.0,1.0,5.0,1.14,7.9,23.35,1.33,3.39,,,,,,,1.14,7.0,26.0,1.28,3.5,,,,,,,2025-2026
Larissa vs AEK Athens,2025-09-21 14:30:00,Game ended in draw.,Greece Super Liga,Larissa,AEK Athens,1,1,11.0,3.0,4.0,6.0,8.0,9.0,14.0,24.0,65.0,91.0,29.0,58.0,39.0,61.0,,,8.0,16.0,6.0,8.0,0.0,2.0,13.0,9.0,10.0,12.0,13.0,15.0,3.0,2.0,4.0,0.0,7.1,4.44,1.47,1.75,2.12,,,,,1.9,1.96,6.5,4.33,1.45,1.7,2.05,,,,,1.87,1.92,2025-2026
Levadiakos vs OFI,2025-09-21 15:00:00,Levadiakos won after full-time.,Greece Super Liga,Levadiakos,OFI,4,0,7.0,10.0,7.0,3.0,6.0,2.0,17.0,5.0,98.0,60.0,57.0,15.0,72.0,28.0,,,11.0,2.0,5.0,3.0,4.0,0.0,3.0,9.0,12.0,3.0,16.0,20.0,2.0,2.0,1.0,3.0,2.0,3.47,3.96,2.06,1.79,,,,,1.96,1.9,1.9,3.5,3.9,1.95,1.8,,,1.8,2.0,1.95,1.85,2025-2026
Panathinaikos vs Olympiacos F.C.,2025-09-21 18:00:00,Game ended in draw.,Greece Super Liga,Panathinaikos,Olympiacos F.C.,1,1,12.0,3.0,1.0,4.0,2.0,3.0,6.0,9.0,86.0,112.0,36.0,58.0,47.0,53.0,,,3.0,5.0,3.0,4.0,3.0,1.0,8.0,3.0,3.0,5.0,16.0,18.0,1.0,1.0,4.0,4.0,3.49,3.16,2.29,1.96,1.88,1.76,2.08,1.97,1.89,,,3.5,3.2,2.25,1.8,1.95,1.75,2.05,1.92,1.87,,,2025-2026
Olympiacos F.C. vs Levadiakos,2025-09-27 15:00:00,Olympiacos F.C. won after full-time.,Greece Super Liga,Olympiacos F.C.,Levadiakos,3,2,1.0,5.0,10.0,3.0,9.0,1.0,19.0,6.0,130.0,76.0,67.0,16.0,48.0,52.0,,,9.0,4.0,10.0,2.0,1.0,3.0,2.0,10.0,11.0,3.0,13.0,17.0,1.0,2.0,2.0,5.0,1.22,6.39,13.42,1.58,2.4,,,,,,,1.22,6.25,12.0,1.57,2.25,,,,,1.8,2.0,2025-2026
Aris vs Panserraikos,2025-09-27 17:30:00,Game ended in draw.,Greece Super Liga,Aris,Panserraikos,1,1,4.0,14.0,10.0,1.0,13.0,3.0,25.0,8.0,119.0,52.0,62.0,26.0,73.0,27.0,,,12.0,5.0,13.0,2.0,4.0,0.0,4.0,14.0,19.0,5.0,11.0,12.0,1.0,3.0,2.0,4.0,1.3,5.43,10.74,1.74,2.14,,,,,1.91,1.95,1.3,5.25,9.0,1.66,2.1,,,1.95,1.85,1.9,1.9,2025-2026
AEK Athens vs Volos NFC,2025-09-28 14:00:00,AEK Athens won after full-time.,Greece Super Liga,AEK Athens,Volos NFC,1,0,2.0,6.0,2.0,1.0,9.0,1.0,14.0,3.0,99.0,68.0,59.0,23.0,58.0,42.0,,,11.0,0.0,3.0,3.0,2.0,1.0,0.0,7.0,13.0,2.0,16.0,19.0,1.0,1.0,3.0,2.0,1.29,5.81,10.42,1.68,2.22,,,,,,,1.3,5.25,10.0,1.75,2.0,,,,,1.85,1.95,2025-2026
OFI vs Kifisia,2025-09-28 16:00:00,Kifisia won after full-time.,Greece Super Liga,OFI,Kifisia,1,3,11.0,8.0,3.0,6.0,2.0,8.0,6.0,22.0,68.0,103.0,38.0,54.0,38.0,62.0,,,2.0,11.0,4.0,11.0,2.0,2.0,12.0,6.0,5.0,15.0,18.0,20.0,6.0,2.0,2.0,6.0,2.02,3.37,4.01,1.82,2.03,,,1.86,2.01,2.06,1.82,2.0,3.4,3.75,1.8,1.95,,,1.95,1.85,2.02,1.77,2025-2026
