name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Angers SCO vs Rennes,2025-08-31 13:00:00,Game ended in draw.,France Ligue 1,Angers SCO,Rennes,1,1,10.0,14.0,1.0,7.0,3.0,4.0,10.0,15.0,69.0,130.0,31.0,49.0,37.0,63.0,,,6.0,8.0,4.0,6.0,4.0,0.0,6.0,4.0,10.0,9.0,9.0,11.0,6.0,6.0,2.0,2.0,4.57,3.77,1.83,2.0,1.86,,,1.9,2.01,2.01,1.9,4.5,3.5,1.8,1.95,1.8,,,1.85,2.0,1.97,1.87,2025-2026
Monaco vs Strasbourg,2025-08-31 15:15:00,Monaco won after full-time.,France Ligue 1,Monaco,Strasbourg,3,2,9.0,5.0,6.0,5.0,4.0,5.0,12.0,12.0,86.0,103.0,34.0,63.0,43.0,57.0,0.0,1.0,10.0,10.0,2.0,2.0,4.0,2.0,8.0,5.0,12.0,9.0,13.0,12.0,2.0,1.0,2.0,1.0,1.45,5.2,6.59,2.26,1.67,,,,,,,1.4,5.25,6.5,2.05,1.7,,,,,,,2025-2026
Le Havre vs Nice,2025-08-31 15:15:00,Le Havre won after full-time.,France Ligue 1,Le Havre,Nice,3,1,16.0,8.0,0.0,5.0,2.0,2.0,12.0,7.0,74.0,107.0,41.0,45.0,41.0,59.0,,,8.0,5.0,4.0,2.0,,,10.0,6.0,11.0,5.0,13.0,16.0,2.0,5.0,1.0,4.0,3.22,3.47,2.33,2.11,1.76,,,,,2.02,1.88,3.3,3.3,2.2,2.0,1.75,,,,,2.02,1.82,2025-2026
Paris vs Metz,2025-08-31 15:15:00,Paris won after full-time.,France Ligue 1,Paris,Metz,3,2,17.0,18.0,14.0,6.0,12.0,7.0,24.0,14.0,101.0,80.0,62.0,28.0,51.0,49.0,1.0,0.0,19.0,10.0,5.0,4.0,0.0,1.0,7.0,11.0,16.0,8.0,4.0,8.0,0.0,6.0,1.0,1.0,1.76,3.92,4.79,2.04,1.82,,,1.85,2.02,1.94,1.96,1.72,3.9,4.5,1.9,1.9,,,1.82,2.02,1.85,2.0,2025-2026
Olympique Lyonnais vs Olympique Marseille,2025-08-31 18:45:00,Olympique Lyonnais won after full-time.,France Ligue 1,Olympique Lyonnais,Olympique Marseille,1,0,3.0,9.0,9.0,4.0,7.0,1.0,18.0,5.0,99.0,74.0,56.0,17.0,58.0,42.0,,,11.0,3.0,6.0,2.0,1.0,1.0,1.0,8.0,6.0,3.0,16.0,11.0,2.0,4.0,2.0,2.0,2.99,3.48,2.43,2.39,1.6,,,,,,,2.9,3.5,2.35,2.25,1.57,,,,,,,2025-2026
Olympique Marseille vs Lorient,2025-09-12 18:45:00,Olympique Marseille won after full-time.,France Ligue 1,Olympique Marseille,Lorient,4,0,10.0,16.0,10.0,0.0,2.0,1.0,15.0,4.0,158.0,43.0,93.0,13.0,72.0,28.0,1.0,0.0,10.0,3.0,5.0,1.0,1.0,0.0,1.0,7.0,9.0,2.0,18.0,5.0,1.0,4.0,3.0,2.0,1.36,5.5,8.75,1.88,1.98,,,,,,,1.36,5.0,8.0,1.8,1.95,,,,,,,2025-2026
Nice vs Nantes,2025-09-13 15:00:00,Nice won after full-time.,France Ligue 1,Nice,Nantes,1,0,12.0,13.0,7.0,4.0,8.0,7.0,19.0,14.0,116.0,81.0,41.0,36.0,59.0,41.0,,,13.0,7.0,6.0,7.0,7.0,0.0,9.0,9.0,14.0,8.0,16.0,14.0,3.0,7.0,2.0,0.0,1.58,4.22,6.1,1.99,1.87,,,,,1.86,2.04,1.57,4.1,5.75,1.95,1.8,,,,,1.82,2.02,2025-2026
Auxerre vs Monaco,2025-09-13 19:05:00,Monaco won after full-time.,France Ligue 1,Auxerre,Monaco,1,2,14.0,4.0,5.0,8.0,4.0,6.0,9.0,13.0,92.0,116.0,30.0,70.0,33.0,67.0,,,4.0,12.0,5.0,1.0,0.0,1.0,6.0,6.0,5.0,7.0,12.0,19.0,1.0,2.0,3.0,6.0,5.25,4.65,1.59,2.57,1.53,,,,,,,5.0,4.5,1.57,2.37,1.53,,,,,,,2025-2026
LOSC Lille vs Toulouse,2025-09-14 13:00:00,LOSC Lille won after full-time.,France Ligue 1,LOSC Lille,Toulouse,2,1,4.0,7.0,7.0,6.0,7.0,3.0,20.0,9.0,102.0,60.0,50.0,26.0,70.0,30.0,1.0,0.0,14.0,5.0,6.0,4.0,1.0,2.0,4.0,5.0,10.0,5.0,12.0,10.0,3.0,3.0,2.0,4.0,1.87,3.63,4.55,1.99,1.88,,,,,2.03,1.87,1.9,3.6,4.0,1.95,1.8,,,,,1.97,1.87,2025-2026
Metz vs Angers SCO,2025-09-14 15:15:00,Game ended in draw.,France Ligue 1,Metz,Angers SCO,1,1,18.0,10.0,4.0,3.0,1.0,6.0,9.0,10.0,97.0,86.0,42.0,36.0,55.0,45.0,1.0,1.0,7.0,7.0,2.0,3.0,1.0,3.0,7.0,2.0,6.0,9.0,10.0,7.0,4.0,4.0,0.0,1.0,2.32,3.29,3.41,2.04,1.83,,,1.84,2.07,2.07,1.81,2.2,3.4,3.25,1.9,1.9,,,1.82,2.02,2.05,1.8,2025-2026
Paris Saint Germain vs Lens,2025-09-14 15:15:00,Paris Saint Germain won after full-time.,France Ligue 1,Paris Saint Germain,Lens,2,0,1.0,5.0,4.0,3.0,3.0,7.0,14.0,11.0,139.0,51.0,53.0,36.0,68.0,32.0,,,6.0,6.0,8.0,5.0,,,7.0,10.0,8.0,7.0,10.0,8.0,3.0,4.0,1.0,2.0,1.36,5.76,7.94,2.36,1.62,,,,,,,1.33,5.75,7.0,2.2,1.61,,,,,,,2025-2026
Strasbourg vs Le Havre,2025-09-14 15:15:00,Strasbourg won after full-time.,France Ligue 1,Strasbourg,Le Havre,1,0,6.0,12.0,4.0,3.0,1.0,7.0,9.0,10.0,85.0,101.0,48.0,52.0,49.0,51.0,1.0,0.0,8.0,5.0,1.0,5.0,1.0,1.0,11.0,5.0,6.0,5.0,8.0,16.0,1.0,5.0,2.0,2.0,1.85,3.7,4.47,1.98,1.88,,,,,1.9,2.0,1.83,3.7,4.2,1.95,1.8,,,,,1.87,1.97,2025-2026
Brest vs Paris,2025-09-14 15:15:00,Paris won after full-time.,France Ligue 1,Brest,Paris,1,2,17.0,13.0,6.0,1.0,7.0,1.0,23.0,7.0,121.0,78.0,53.0,20.0,46.0,54.0,1.0,0.0,14.0,5.0,9.0,2.0,3.0,1.0,3.0,17.0,9.0,3.0,11.0,10.0,2.0,6.0,0.0,3.0,2.73,3.43,2.7,2.37,1.61,,,,,1.84,2.07,2.62,3.4,2.6,2.2,1.61,,,,,1.82,2.02,2025-2026
Rennes vs Olympique Lyonnais,2025-09-14 18:45:00,Rennes won after full-time.,France Ligue 1,Rennes,Olympique Lyonnais,3,1,12.0,3.0,5.0,4.0,9.0,0.0,23.0,8.0,117.0,79.0,63.0,48.0,48.0,52.0,,,13.0,7.0,10.0,1.0,3.0,0.0,4.0,12.0,13.0,5.0,18.0,13.0,4.0,2.0,2.0,2.0,2.59,3.36,2.9,2.24,1.68,,,,,,,2.5,3.4,2.8,2.2,1.61,,,,,1.85,2.0,2025-2026
Olympique Lyonnais vs Angers SCO,2025-09-19 18:45:00,Olympique Lyonnais won after full-time.,France Ligue 1,Olympique Lyonnais,Angers SCO,1,0,4.0,12.0,7.0,4.0,7.0,4.0,16.0,10.0,123.0,55.0,56.0,30.0,67.0,33.0,,,10.0,8.0,6.0,2.0,1.0,1.0,9.0,9.0,11.0,6.0,16.0,10.0,2.0,4.0,2.0,2.0,1.48,4.56,7.01,1.83,2.05,,,,,,,1.38,4.75,8.5,1.75,2.0,,,,,,,2025-2026
Nantes vs Rennes,2025-09-20 15:00:00,Game ended in draw.,France Ligue 1,Nantes,Rennes,2,2,14.0,6.0,4.0,4.0,6.0,4.0,16.0,8.0,77.0,86.0,32.0,37.0,43.0,57.0,1.0,1.0,10.0,5.0,6.0,3.0,1.0,3.0,8.0,10.0,11.0,10.0,14.0,18.0,2.0,2.0,3.0,1.0,4.23,3.57,1.95,2.02,1.85,,,1.84,2.07,2.02,1.81,4.0,3.5,1.95,1.95,1.8,,,1.8,2.05,2.02,1.82,2025-2026
Brest vs Nice,2025-09-20 17:00:00,Brest won after full-time.,France Ligue 1,Brest,Nice,4,1,17.0,8.0,2.0,7.0,4.0,10.0,11.0,21.0,76.0,148.0,20.0,70.0,38.0,62.0,,,6.0,15.0,5.0,5.0,0.0,1.0,17.0,4.0,8.0,14.0,17.0,11.0,3.0,1.0,1.0,3.0,3.05,3.64,2.35,2.53,1.57,,,,,,,3.2,3.6,2.2,2.37,1.53,,,,,1.85,2.0,2025-2026
Lens vs LOSC Lille,2025-09-20 19:05:00,Lens won after full-time.,France Ligue 1,Lens,LOSC Lille,3,0,8.0,3.0,4.0,10.0,7.0,6.0,15.0,17.0,75.0,109.0,34.0,54.0,38.0,62.0,,,10.0,13.0,5.0,4.0,4.0,1.0,7.0,10.0,10.0,8.0,17.0,11.0,3.0,3.0,1.0,3.0,2.24,3.57,3.31,2.34,1.65,,,,,1.84,2.06,2.2,3.5,3.2,2.1,1.66,,,,,1.82,2.02,2025-2026
Paris vs Strasbourg,2025-09-21 13:00:00,Strasbourg won after full-time.,France Ligue 1,Paris,Strasbourg,2,3,10.0,5.0,4.0,2.0,10.0,2.0,18.0,8.0,88.0,64.0,71.0,33.0,61.0,39.0,,,12.0,7.0,6.0,1.0,2.0,1.0,6.0,12.0,9.0,6.0,11.0,10.0,0.0,4.0,1.0,5.0,2.41,3.5,3.06,2.38,1.63,,,,,,,2.35,3.4,3.0,2.2,1.61,,,,,1.82,2.02,2025-2026
Monaco vs Metz,2025-09-21 15:15:00,Monaco won after full-time.,France Ligue 1,Monaco,Metz,5,2,5.0,18.0,4.0,5.0,7.0,2.0,16.0,8.0,98.0,86.0,59.0,25.0,43.0,57.0,0.0,1.0,12.0,6.0,4.0,2.0,3.0,0.0,5.0,14.0,13.0,5.0,15.0,6.0,1.0,2.0,1.0,0.0,1.32,6.05,9.21,2.11,1.78,,,,,,,1.3,5.75,8.0,2.0,1.75,,,,,,,2025-2026
Auxerre vs Toulouse,2025-09-21 15:15:00,Auxerre won after full-time.,France Ligue 1,Auxerre,Toulouse,1,0,16.0,9.0,3.0,4.0,3.0,6.0,6.0,13.0,80.0,101.0,29.0,52.0,40.0,60.0,0.0,1.0,5.0,12.0,1.0,1.0,,,8.0,7.0,4.0,7.0,12.0,20.0,3.0,0.0,1.0,6.0,3.54,3.3,2.26,2.06,1.83,,,1.91,1.99,2.08,1.84,3.4,3.25,2.25,1.95,1.8,,,1.9,1.95,2.05,1.8,2025-2026
Le Havre vs Lorient,2025-09-21 15:15:00,Game ended in draw.,France Ligue 1,Le Havre,Lorient,1,1,15.0,17.0,6.0,2.0,9.0,4.0,13.0,8.0,124.0,88.0,48.0,38.0,60.0,40.0,,,10.0,5.0,3.0,3.0,,,8.0,10.0,5.0,6.0,20.0,15.0,3.0,0.0,3.0,6.0,2.13,3.33,3.87,1.89,1.98,,,1.97,1.93,1.94,1.94,2.1,3.3,3.6,1.8,1.95,,,1.97,1.87,1.92,1.92,2025-2026
Olympique Marseille vs Paris Saint Germain,2025-09-22 18:00:00,Olympique Marseille won after full-time.,France Ligue 1,Olympique Marseille,Paris Saint Germain,1,0,8.0,1.0,5.0,3.0,5.0,6.0,9.0,12.0,62.0,146.0,34.0,28.0,32.0,68.0,,,8.0,4.0,1.0,8.0,2.0,1.0,6.0,2.0,5.0,11.0,16.0,7.0,5.0,1.0,3.0,1.0,4.1,3.86,1.89,2.4,1.62,,,,,,,4.0,3.9,1.83,2.2,1.61,,,,,,,2025-2026
Strasbourg vs Olympique Marseille,2025-09-26 18:45:00,Olympique Marseille won after full-time.,France Ligue 1,Strasbourg,Olympique Marseille,1,2,4.0,6.0,5.0,4.0,6.0,5.0,9.0,16.0,58.0,107.0,25.0,63.0,40.0,60.0,,,6.0,10.0,2.0,6.0,2.0,1.0,7.0,6.0,9.0,11.0,13.0,15.0,7.0,0.0,2.0,4.0,3.25,3.61,2.25,2.39,1.62,,,,,1.84,2.06,3.25,3.5,2.15,2.2,1.61,,,,,1.82,2.02,2025-2026
Lorient vs Monaco,2025-09-27 15:00:00,Lorient won after full-time.,France Ligue 1,Lorient,Monaco,3,1,17.0,1.0,2.0,4.0,5.0,3.0,19.0,5.0,86.0,139.0,50.0,47.0,47.0,53.0,0.0,1.0,12.0,2.0,7.0,3.0,0.0,1.0,8.0,6.0,11.0,4.0,10.0,11.0,1.0,5.0,2.0,3.0,3.82,3.88,1.96,2.44,1.6,,,,,,,4.33,3.9,1.75,2.25,1.57,,,,,,,2025-2026
Toulouse vs Nantes,2025-09-27 17:00:00,Game ended in draw.,France Ligue 1,Toulouse,Nantes,2,2,9.0,16.0,1.0,4.0,8.0,4.0,20.0,12.0,109.0,76.0,53.0,20.0,46.0,54.0,1.0,0.0,15.0,7.0,5.0,5.0,2.0,1.0,5.0,9.0,12.0,5.0,18.0,12.0,0.0,5.0,2.0,3.0,1.74,3.68,5.5,1.86,2.01,,,1.83,2.09,2.0,1.81,1.65,3.75,5.25,1.8,1.95,,,1.8,2.05,2.0,1.85,2025-2026
