name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Celta de Vigo vs Real Betis,2025-08-27 19:00:00,Game ended in draw.,Spain La Liga,Celta de Vigo,Real Betis,1,1,15.0,7.0,10.0,4.0,6.0,2.0,14.0,7.0,80.0,95.0,45.0,51.0,47.0,53.0,,,10.0,3.0,4.0,4.0,5.0,2.0,5.0,6.0,10.0,5.0,13.0,11.0,0.0,4.0,1.0,2.0,2.37,3.42,3.2,2.42,1.59,,,,,1.88,2.03,2.35,3.4,3.0,2.25,1.57,,,,,1.82,2.02,2025-2026
Elche vs Levante,2025-08-29 17:30:00,Elche won after full-time.,Spain La Liga,Elche,Levante,2,0,12.0,17.0,4.0,2.0,7.0,8.0,16.0,11.0,110.0,74.0,53.0,22.0,67.0,33.0,,,13.0,5.0,3.0,6.0,1.0,1.0,8.0,10.0,12.0,7.0,14.0,17.0,1.0,3.0,1.0,2.0,2.2,3.34,3.65,1.89,1.97,1.82,2.1,2.03,1.88,2.04,1.8,2.15,3.2,3.7,1.75,2.0,1.77,2.1,2.02,1.82,2.05,1.8,2025-2026
Valencia vs Getafe,2025-08-29 19:30:00,Valencia won after full-time.,Spain La Liga,Valencia,Getafe,3,0,15.0,4.0,8.0,6.0,1.0,6.0,7.0,11.0,86.0,94.0,26.0,43.0,58.0,42.0,,,5.0,7.0,2.0,4.0,0.0,5.0,8.0,3.0,5.0,6.0,18.0,7.0,1.0,1.0,2.0,0.0,2.37,2.95,3.74,1.59,2.42,2.14,1.8,,,,,2.35,2.87,3.6,1.57,2.25,,,,,,,2025-2026
Deportivo Alavés vs Atlético Madrid,2025-08-30 15:00:00,Game ended in draw.,Spain La Liga,Deportivo Alavés,Atlético Madrid,1,1,11.0,15.0,1.0,6.0,2.0,6.0,5.0,15.0,105.0,120.0,27.0,61.0,40.0,60.0,1.0,0.0,3.0,12.0,2.0,3.0,0.0,1.0,14.0,9.0,3.0,12.0,10.0,17.0,5.0,1.0,2.0,3.0,5.74,3.61,1.72,1.67,2.26,1.8,2.12,2.12,1.81,,,5.5,3.5,1.7,1.61,2.2,,,2.1,1.77,,,2025-2026
Real Oviedo vs Real Sociedad,2025-08-30 17:00:00,Real Oviedo won after full-time.,Spain La Liga,Real Oviedo,Real Sociedad,1,0,19.0,13.0,1.0,10.0,7.0,9.0,8.0,18.0,78.0,111.0,38.0,65.0,43.0,57.0,,,4.0,9.0,4.0,9.0,2.0,1.0,10.0,7.0,8.0,13.0,7.0,18.0,6.0,0.0,2.0,1.0,3.53,3.12,2.36,1.87,2.0,1.81,2.12,2.06,1.85,,,3.5,3.2,2.2,1.8,1.95,1.77,2.1,2.02,1.82,,,2025-2026
Girona vs Sevilla,2025-08-30 17:30:00,Sevilla won after full-time.,Spain La Liga,Girona,Sevilla,0,2,20.0,17.0,11.0,3.0,6.0,6.0,20.0,13.0,93.0,62.0,62.0,22.0,59.0,41.0,,,12.0,10.0,8.0,3.0,2.0,0.0,6.0,7.0,12.0,10.0,5.0,14.0,2.0,5.0,0.0,2.0,2.5,3.2,3.17,1.98,1.88,,,1.96,1.94,1.93,1.91,2.45,3.1,3.1,1.9,1.9,,,1.92,1.92,1.97,1.87,2025-2026
Real Madrid vs Mallorca,2025-08-30 19:30:00,Real Madrid won after full-time.,Spain La Liga,Real Madrid,Mallorca,2,1,3.0,17.0,4.0,5.0,6.0,2.0,17.0,9.0,117.0,70.0,93.0,23.0,58.0,42.0,,,7.0,8.0,10.0,1.0,3.0,1.0,6.0,14.0,14.0,8.0,12.0,7.0,2.0,5.0,2.0,0.0,1.18,7.76,16.18,1.63,2.31,,,,,,,1.18,7.5,13.0,1.61,2.2,,,,,,,2025-2026
Celta de Vigo vs Villarreal,2025-08-31 15:00:00,Game ended in draw.,Spain La Liga,Celta de Vigo,Villarreal,1,1,17.0,2.0,1.0,5.0,4.0,4.0,10.0,8.0,174.0,65.0,59.0,31.0,65.0,35.0,,,6.0,5.0,4.0,3.0,,,8.0,11.0,8.0,6.0,11.0,8.0,2.0,2.0,1.0,1.0,3.31,3.57,2.24,2.27,1.66,,,,,1.92,1.98,3.2,3.5,2.2,2.05,1.7,,,,,1.92,1.92,2025-2026
Real Betis vs Athletic Club,2025-08-31 17:00:00,Athletic Club won after full-time.,Spain La Liga,Real Betis,Athletic Club,1,2,7.0,4.0,4.0,10.0,4.0,5.0,9.0,15.0,94.0,99.0,28.0,42.0,50.0,50.0,,,6.0,9.0,3.0,6.0,3.0,2.0,6.0,7.0,7.0,12.0,9.0,16.0,5.0,1.0,1.0,4.0,3.3,3.23,2.37,1.98,1.88,,,1.88,2.03,,,3.1,3.2,2.4,1.95,1.8,,,1.85,2.0,,,2025-2026
Espanyol vs Osasuna,2025-08-31 17:30:00,Espanyol won after full-time.,Spain La Liga,Espanyol,Osasuna,1,0,9.0,13.0,2.0,3.0,5.0,5.0,10.0,10.0,85.0,92.0,41.0,39.0,45.0,55.0,,,7.0,6.0,3.0,4.0,2.0,1.0,8.0,8.0,6.0,9.0,13.0,14.0,3.0,3.0,2.0,3.0,2.56,3.08,3.19,1.79,2.08,1.89,2.02,2.11,1.81,,,2.5,3.0,3.1,1.7,2.05,1.87,1.97,2.05,1.8,,,2025-2026
