name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Chapecoense vs Coritiba,2026-02-11 22:00:00,Game ended in draw.,Brasileirao Betano Serie A,Chapecoense,Coritiba,3.0,3.0,3.0,11.0,6.0,5.0,7.0,6.0,21.0,13.0,93.0,79.0,44.0,31.0,51.0,49.0,,,11.0,8.0,10.0,5.0,,,8.0,10.0,14.0,11.0,4.0,8.0,2.0,5.0,2.0,1.0,2.83,3.21,2.7,1.97,1.88,1.81,2.07,1.93,1.95,,,2.75,3.2,2.7,1.9,1.9,2.1,1.77,1.92,1.92,,,0.35,0.31,0.37,0.53,0.51,0.55,0.48,0.52,0.51,,,0.36,0.31,0.37,0.53,0.53,0.48,0.56,0.52,0.52,,,2026
Mirassol vs Cruzeiro,2026-02-11 22:00:00,Game ended in draw.,Brasileirao Betano Serie A,Mirassol,Cruzeiro,2.0,2.0,4.0,20.0,9.0,0.0,4.0,2.0,20.0,9.0,89.0,73.0,66.0,29.0,56.0,44.0,0.0,1.0,15.0,6.0,5.0,3.0,2.0,0.0,3.0,7.0,12.0,7.0,12.0,10.0,2.0,9.0,3.0,2.0,2.46,3.19,3.19,2.02,1.85,,,1.87,2.01,,,2.4,3.0,3.25,1.95,1.8,,,1.87,1.97,,,0.41,0.31,0.31,0.54,0.5,,,0.53,0.5,,,0.42,0.33,0.31,0.51,0.56,,,0.53,0.51,,,2026
Atlético Mineiro vs Remo,2026-02-11 23:00:00,Game ended in draw.,Brasileirao Betano Serie A,Atlético Mineiro,Remo,3.0,3.0,15.0,18.0,6.0,5.0,7.0,5.0,18.0,18.0,93.0,87.0,26.0,18.0,59.0,41.0,,,13.0,11.0,5.0,7.0,2.0,5.0,9.0,9.0,15.0,11.0,7.0,5.0,3.0,5.0,0.0,2.0,1.45,4.5,7.96,1.82,2.05,,,1.84,2.01,1.84,2.04,1.42,4.5,8.0,1.75,2.0,,,2.02,1.82,1.82,2.02,0.69,0.22,0.13,0.49,0.55,,,0.54,0.5,0.54,0.49,0.7,0.22,0.12,0.57,0.5,,,0.5,0.55,0.55,0.5,2026
São Paulo vs Grêmio,2026-02-12 00:30:00,São Paulo won after full-time.,Brasileirao Betano Serie A,São Paulo,Grêmio,2.0,0.0,6.0,10.0,3.0,3.0,12.0,4.0,18.0,5.0,96.0,74.0,62.0,30.0,58.0,42.0,2.0,0.0,12.0,4.0,6.0,1.0,2.0,0.0,6.0,15.0,11.0,4.0,7.0,12.0,1.0,2.0,3.0,4.0,1.96,3.29,4.52,1.93,1.92,,,1.86,2.03,,,1.95,3.2,4.2,1.9,1.9,,,1.85,2.0,,,0.51,0.3,0.22,0.52,0.52,,,0.54,0.49,,,0.51,0.31,0.24,0.53,0.53,,,0.54,0.5,,,2026
Vasco da Gama vs Bahia,2026-02-12 00:30:00,Bahia won after full-time.,Brasileirao Betano Serie A,Vasco da Gama,Bahia,0.0,1.0,15.0,7.0,8.0,4.0,15.0,3.0,26.0,8.0,110.0,80.0,80.0,28.0,62.0,38.0,,,16.0,3.0,10.0,5.0,0.0,3.0,3.0,12.0,14.0,6.0,16.0,13.0,2.0,4.0,5.0,5.0,2.31,3.35,3.31,2.24,1.68,,,,,1.87,2.01,2.25,3.3,3.1,2.1,1.66,,,1.95,1.9,1.82,2.02,0.43,0.3,0.3,0.6,0.45,,,,,0.53,0.5,0.44,0.3,0.32,0.48,0.6,,,0.51,0.53,0.55,0.5,2026
Athletico PR vs Santos,2026-02-12 22:00:00,Athletico PR won after full-time.,Brasileirao Betano Serie A,Athletico PR,Santos,2.0,1.0,11.0,18.0,8.0,2.0,3.0,2.0,13.0,10.0,92.0,87.0,46.0,19.0,56.0,44.0,1.0,0.0,10.0,6.0,3.0,4.0,1.0,3.0,6.0,6.0,7.0,7.0,14.0,14.0,4.0,3.0,1.0,3.0,2.03,3.21,4.34,1.9,1.95,,,1.93,1.95,2.08,1.81,2.0,3.25,4.0,1.8,1.95,,,1.92,1.92,1.92,1.92,0.49,0.31,0.23,0.51,0.53,,,0.52,0.51,0.48,0.55,0.5,0.31,0.25,0.56,0.51,,,0.52,0.52,0.52,0.52,2026
Fluminense vs Botafogo,2026-02-12 22:30:00,Fluminense won after full-time.,Brasileirao Betano Serie A,Fluminense,Botafogo,1.0,0.0,6.0,10.0,4.0,0.0,4.0,1.0,10.0,5.0,88.0,86.0,35.0,13.0,48.0,52.0,,,8.0,2.0,2.0,3.0,1.0,0.0,3.0,6.0,8.0,7.0,17.0,11.0,3.0,4.0,5.0,3.0,1.84,3.4,5.09,1.76,2.14,,,2.08,1.81,,,1.8,3.3,5.5,1.75,2.0,,,2.05,1.8,1.85,2.0,0.54,0.29,0.2,0.47,0.57,,,0.48,0.55,,,0.56,0.3,0.18,0.57,0.5,,,0.49,0.56,0.54,0.5,2026
Corinthians vs Bragantino,2026-02-12 23:00:00,Corinthians won after full-time.,Brasileirao Betano Serie A,Corinthians,Bragantino,2.0,0.0,20.0,2.0,3.0,3.0,7.0,3.0,13.0,9.0,68.0,86.0,13.0,11.0,60.0,40.0,0.0,1.0,9.0,3.0,4.0,6.0,4.0,1.0,7.0,10.0,10.0,6.0,13.0,21.0,4.0,3.0,4.0,4.0,1.95,3.24,4.7,1.83,2.03,,,2.01,1.87,,,1.95,3.2,4.5,1.8,1.95,,,2.0,1.85,,,0.51,0.31,0.21,0.49,0.55,,,0.5,0.53,,,0.51,0.31,0.22,0.56,0.51,,,0.5,0.54,,,2026
Internacional vs Palmeiras,2026-02-13 00:30:00,Palmeiras won after full-time.,Brasileirao Betano Serie A,Internacional,Palmeiras,1.0,3.0,16.0,6.0,16.0,4.0,9.0,3.0,26.0,11.0,123.0,61.0,62.0,10.0,62.0,38.0,,,18.0,7.0,8.0,4.0,1.0,3.0,3.0,10.0,16.0,10.0,11.0,8.0,4.0,3.0,1.0,1.0,3.18,3.39,2.36,2.2,1.71,,,1.8,2.06,1.88,2.0,3.1,3.4,2.3,2.1,1.66,,,2.02,1.82,1.87,1.97,0.31,0.29,0.42,0.58,0.45,,,0.56,0.49,0.53,0.5,0.32,0.29,0.43,0.48,0.6,,,0.5,0.55,0.53,0.51,2026
Athletico PR vs Corinthians,2026-02-19 22:30:00,Corinthians won after full-time.,Brasileirao Betano Serie A,Athletico PR,Corinthians,0.0,1.0,5.0,12.0,8.0,0.0,12.0,0.0,19.0,4.0,92.0,49.0,21.0,7.0,56.0,44.0,1.0,0.0,11.0,0.0,8.0,4.0,3.0,1.0,3.0,17.0,13.0,1.0,15.0,8.0,0.0,4.0,3.0,4.0,2.69,3.01,3.03,1.85,2.0,1.79,2.11,2.11,1.8,,,2.62,3.0,2.9,1.8,1.95,1.8,2.05,1.77,2.1,,,0.37,0.33,0.33,0.5,0.54,0.56,0.47,0.47,0.56,,,0.38,0.33,0.34,0.56,0.51,0.56,0.49,0.56,0.48,,,2026
