name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Atlético Tucumán vs Central Cordoba SdE,2026-01-28 01:15:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Atlético Tucumán,Central Cordoba SdE,,,11.0,14.0,5.0,2.0,11.0,1.0,21.0,3.0,83.0,75.0,75.0,42.0,63.0,37.0,,,13.0,2.0,8.0,1.0,3.0,1.0,7.0,11.0,11.0,2.0,18.0,13.0,2.0,5.0,3.0,4.0,2.16,3.2,3.88,1.83,2.03,1.8,2.1,2.05,1.84,,,2.1,3.1,3.9,1.9,1.9,2.0,1.8,2.02,1.77,,,0.46,0.31,0.26,0.49,0.55,0.56,0.48,0.49,0.54,,,0.48,0.32,0.26,0.53,0.53,0.5,0.56,0.5,0.56,,,2026
Aldosivi vs Barracas Central,2026-01-28 20:00:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Aldosivi,Barracas Central,,,8.0,14.0,3.0,1.0,4.0,4.0,8.0,9.0,80.0,96.0,78.0,88.0,59.0,41.0,,,4.0,4.0,4.0,5.0,1.0,1.0,4.0,9.0,6.0,6.0,16.0,5.0,3.0,3.0,4.0,0.0,2.17,2.86,4.49,1.5,2.71,2.07,1.78,,,,,2.15,2.7,4.5,1.44,2.62,,,,,,,0.46,0.35,0.22,0.37,0.67,0.48,0.56,,,,,0.47,0.37,0.22,0.69,0.38,,,,,,,2026
Racing Club vs Rosario Central,2026-01-28 22:00:00,Rosario Central won after full-time.,Argentina Liga Profissional de Futebol,Racing Club,Rosario Central,1.0,2.0,11.0,12.0,1.0,2.0,8.0,2.0,21.0,6.0,110.0,71.0,85.0,39.0,71.0,29.0,,,5.0,5.0,16.0,1.0,1.0,3.0,7.0,12.0,14.0,5.0,16.0,11.0,1.0,6.0,4.0,4.0,2.16,3.12,4.01,1.73,2.17,1.86,2.03,2.1,1.8,,,2.15,3.1,4.0,1.8,1.95,1.85,1.95,2.02,1.77,,,0.46,0.32,0.25,0.46,0.58,0.54,0.49,0.48,0.56,,,0.47,0.32,0.25,0.56,0.51,0.54,0.51,0.5,0.56,,,2026
River Plate vs Gimnasia La Plata,2026-01-28 23:00:00,River Plate won after full-time.,Argentina Liga Profissional de Futebol,River Plate,Gimnasia La Plata,2.0,0.0,5.0,4.0,6.0,4.0,9.0,1.0,17.0,3.0,115.0,74.0,36.0,8.0,71.0,29.0,,,9.0,2.0,8.0,1.0,2.0,5.0,4.0,11.0,15.0,2.0,12.0,11.0,1.0,6.0,3.0,2.0,1.58,3.95,6.66,1.58,2.45,,,2.05,1.84,,,1.57,3.6,7.0,1.57,2.25,,,2.02,1.77,,,0.63,0.25,0.15,0.41,0.63,,,0.49,0.54,,,0.64,0.28,0.14,0.64,0.44,,,0.5,0.56,,,2026
Estudiantes vs Boca Juniors,2026-01-29 01:15:00,Estudiantes won after full-time.,Argentina Liga Profissional de Futebol,Estudiantes,Boca Juniors,2.0,1.0,9.0,4.0,5.0,7.0,3.0,2.0,12.0,10.0,53.0,70.0,44.0,68.0,34.0,66.0,,,10.0,6.0,2.0,4.0,0.0,4.0,7.0,5.0,9.0,4.0,13.0,8.0,2.0,5.0,2.0,1.0,3.11,2.75,2.88,,,2.09,1.77,,,,,3.0,2.8,2.75,1.53,2.37,1.77,2.02,,,,,0.32,0.36,0.35,,,0.48,0.56,,,,,0.33,0.36,0.36,0.65,0.42,0.56,0.5,,,,,2026
Deportivo Riestra vs Defensa y Justicia,2026-01-29 20:00:00,Defensa y Justicia won after full-time.,Argentina Liga Profissional de Futebol,Deportivo Riestra,Defensa y Justicia,0.0,1.0,14.0,11.0,4.0,3.0,7.0,2.0,12.0,5.0,78.0,52.0,71.0,52.0,54.0,46.0,,,8.0,4.0,4.0,1.0,2.0,1.0,8.0,8.0,4.0,4.0,19.0,10.0,2.0,2.0,5.0,3.0,2.17,2.94,4.28,1.56,2.52,2.1,1.76,,,,,2.1,2.9,4.33,1.5,2.5,1.77,2.02,,,,,0.46,0.34,0.23,0.4,0.64,0.48,0.57,,,,,0.48,0.34,0.23,0.67,0.4,0.56,0.5,,,,,2026
Belgrano vs Tigre,2026-01-29 22:15:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Belgrano,Tigre,1.0,1.0,4.0,3.0,7.0,1.0,8.0,2.0,12.0,6.0,105.0,77.0,61.0,30.0,60.0,40.0,,,7.0,1.0,5.0,5.0,2.0,0.0,7.0,12.0,4.0,6.0,6.0,8.0,2.0,0.0,2.0,1.0,1.97,3.04,5.0,1.58,2.46,2.08,1.81,,,,,1.9,3.0,5.0,1.53,2.37,1.8,2.0,,,,,0.51,0.33,0.2,0.41,0.63,0.48,0.55,,,,,0.53,0.33,0.2,0.65,0.42,0.56,0.5,,,,,2026
Lanús vs Unión Santa Fe,2026-01-29 22:15:00,Lanús won after full-time.,Argentina Liga Profissional de Futebol,Lanús,Unión Santa Fe,2.0,1.0,4.0,10.0,5.0,7.0,6.0,5.0,15.0,15.0,110.0,100.0,45.0,44.0,60.0,40.0,,,10.0,10.0,5.0,5.0,3.0,0.0,7.0,8.0,12.0,11.0,7.0,9.0,4.0,3.0,3.0,1.0,2.13,2.85,4.67,1.58,2.47,,,,,,,2.1,2.87,4.33,1.53,2.37,,,,,,,0.47,0.35,0.21,0.4,0.63,,,,,,,0.48,0.35,0.23,0.65,0.42,,,,,,,2026
Estudiantes de Río Cuarto vs Argentinos Juniors,2026-01-30 00:30:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Estudiantes de Río Cuarto,Argentinos Juniors,,,15.0,5.0,1.0,6.0,6.0,6.0,7.0,13.0,70.0,102.0,52.0,64.0,26.0,74.0,0.0,1.0,3.0,10.0,4.0,3.0,3.0,2.0,8.0,7.0,6.0,9.0,15.0,12.0,4.0,0.0,2.0,0.0,5.79,3.25,1.8,1.55,2.55,2.12,1.8,,,,,5.75,3.2,1.75,1.5,2.5,2.05,1.75,,,,,0.17,0.31,0.56,0.39,0.65,0.47,0.56,,,,,0.17,0.31,0.57,0.67,0.4,0.49,0.57,,,,,2026
Sarmiento vs Banfield,2026-01-30 00:30:00,Sarmiento won after full-time.,Argentina Liga Profissional de Futebol,Sarmiento,Banfield,1.0,0.0,13.0,9.0,9.0,2.0,4.0,6.0,23.0,9.0,102.0,80.0,59.0,45.0,61.0,39.0,1.0,0.0,12.0,5.0,11.0,4.0,1.0,0.0,10.0,10.0,11.0,7.0,13.0,17.0,2.0,8.0,4.0,2.0,3.7,2.83,2.44,1.58,2.47,,,,,,,3.6,2.8,2.37,1.53,2.37,,,,,,,0.27,0.35,0.41,0.4,0.63,,,,,,,0.28,0.36,0.42,0.65,0.42,,,,,,,2026
